input,result3,result2,result1
"[0, 0, 0, 0, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 5]","[1, 15, 13]","[1, 15, 13]"
"[5, 0, 0, 0, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 13, 15]","[1, 13, 15]"
"[5, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 19, 4]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 6]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 4, 18]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 7]","[1, 15, 17]","[1, 15, 17]"
"[5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 10, 15]","[17, 1, 15]","[17, 1, 15]"
"[5, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 1]","[1, 15, 7]","[1, 15, 7]"
"[5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 3, 6]","[1, 15, 17]","[1, 15, 17]"
"[0, 5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 18, 6]","[0, 15, 13]","[0, 15, 13]"
"[0, 0, 0, 0, 0, 0, 0, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 18]","[1, 15, 13]","[1, 15, 13]"
"[0, 0, 0, 5, 0, 0, 0, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 4, 10]","[1, 13, 15]","[1, 13, 15]"
"[5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11, 4, 15]","[15, 1, 17]","[15, 1, 17]"
"[0, 0, 0, 5, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 5]","[1, 15, 0]","[1, 15, 0]"
"[0, 5, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 15]","[17, 15, 13]","[17, 15, 13]"
"[0, 5, 0, 5, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 10, 18]","[15, 13, 0]","[15, 13, 0]"
"[0, 5, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 5, 15]","[15, 13, 7]","[15, 13, 7]"
"[0, 0, 5, 0, 0, 5, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[18, 7, 6]","[1, 15, 17]","[1, 15, 17]"
"[0, 0, 0, 0, 0, 5, 5, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 7]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 5]","[1, 15, 0]","[1, 15, 0]"
"[0, 0, 0, 5, 0, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[19, 0, 10]","[1, 15, 13]","[1, 15, 13]"
