userid,playtime_last_two_weeks
76561198074671324,1746
76561198169443272,0
76561198116903651,2016
76561198147527222,693
76561198048785832,1014
76561198421904547,310
76561198156994181,937
76561197985525804,434
userid,playtime_last_two_weeks
76561198017816168,239
76561198046721490,1950
76561198012710399,112
76561198000213938,1284
76561198276902574,81
76561198014194195,0
76561198213893881,559
76561198142414389,485
76561198159626675,287
76561198276196773,67
76561198120143023,120
76561198008991328,635
76561198008676724,1303
76561198036360339,616
76561198351705614,602
76561198175687325,915
76561198029110823,563
76561198021998078,128
76561198288133826,253
76561198048461727,1044
userid,playtime_last_two_weeks
76561198059002077,269
76561198046794341,1431
76561197999987753,425
76561198029739808,586
76561198101571855,1264
76561198015109838,2033
76561198122770364,239
76561198083958140,98
76561198205522416,1192
76561198005239582,71
76561198089998423,416
76561197961615556,0
76561197995033308,0
76561198003258703,2373
76561198000018648,94
76561198128876889,276
76561198093771699,110
76561198105456569,1155
76561198225312024,1301
76561198031547886,1813
userid,playtime_last_two_weeks
76561198016567507,468
76561198011703747,0
76561197968525539,341
76561198273424104,450
76561198168178335,568
76561198046883249,2035
76561198019876628,0
76561198078364625,496
76561198083713170,1884
76561198006268927,0
76561198148954562,1068
76561198089510392,8
76561198082986324,275
76561198837185562,82
76561198862823556,666
76561198241969426,359
76561198062938613,0
76561197994495415,700
76561198046612411,321
76561198075330976,2
userid,playtime_last_two_weeks
76561198047188542,897
76561198154118953,1310
76561197970904134,2378
76561198097660975,0
76561198942024809,666
76561198017479878,0
76561197972869879,149
76561198089904681,0
76561198156481440,634
76561198048757780,5
76561198127720877,1852
76561198394175877,9496
76561198383483742,364
76561198005112460,1134
76561198044050156,830
76561198112847046,532
76561198055533790,196
76561198007318706,0
76561198127239093,935
76561197961825297,638
userid,playtime_last_two_weeks
76561198005193116,486
76561197991803834,215
76561198088298856,1741
76561198128583968,71
76561198328812641,389
76561198371061414,119
76561198095424346,632
76561198236816864,2048
76561198102127426,569
76561198063431074,64
